signup_month,last_active,close_month,reason_code,tenure_months,channel,region,age_band,promo,first_account_tier,last_account_tier,max_fee,total_revenue,churned
2022-01,2022-06,2022-07,Unknown,6,Comparison Site,Scotland,25-34,False,Classic,Classic,0,0,True
2022-01,2024-12,,,36,Online,London,55-64,False,Silver,Platinum,28,595,False
2022-01,2024-12,,,36,Branch,South East,25-34,False,Platinum,Platinum,28,848,False
2022-01,2024-12,,,36,Referral,London,25-34,True,Silver,Silver,11,330,False
2022-01,2022-10,2022-11,Unknown,10,Comparison Site,South East,35-44,False,Silver,Classic,11,33,True
2022-01,2024-12,,,36,Branch,South East,35-44,False,Gold,Gold,18,536,False
2022-01,2023-05,,Unknown,17,Outbound,Scotland,45-54,False,Silver,Silver,11,187,True
2022-01,2024-12,,,36,Online,South East,45-54,False,Silver,Gold,18,508,False
2022-01,2024-12,,,36,Online,North,35-44,False,Silver,Platinum,28,563,False
2022-01,2024-12,,,36,Broker/IFA,Scotland,18-24,True,Gold,Platinum,28,840,False
2022-01,2022-08,2022-09,Unknown,8,Comparison Site,South East,18-24,True,Classic,Classic,0,0,True
2022-01,2024-12,,,36,Referral,Scotland,18-24,False,Gold,Gold,18,648,False
2022-01,2023-06,2023-07,Unknown,18,Comparison Site,London,25-34,True,Classic,Classic,0,0,True
2022-01,2024-06,,Unknown,30,Online,Midlands,45-54,False,Silver,Classic,11,110,True
2022-01,2022-01,2022-02,Unknown,1,Branch,North,25-34,True,Silver,Silver,0,0,True
2022-01,2022-03,2022-04,Unknown,3,Comparison Site,London,25-34,True,Classic,Classic,0,0,True
2022-01,2022-01,2022-02,Unknown,1,Broker/IFA,Scotland,45-54,False,Silver,Silver,11,11,True
2022-01,2023-01,2023-02,Unknown,13,Comparison Site,London,45-54,True,Classic,Silver,11,55,True
2022-01,2024-12,,,36,Broker/IFA,South East,55-64,False,Gold,Gold,28,818,False
2022-01,2024-12,,,36,Broker/IFA,Scotland,55-64,False,Silver,Gold,28,729,False
2022-01,2022-11,2022-12,Unknown,11,Referral,Midlands,35-44,False,Silver,Gold,18,177,True
2022-01,2023-05,2023-06,Unknown,17,Broker/IFA,London,55-64,False,Platinum,Gold,28,386,True
2022-01,2024-12,,,36,Online,North,35-44,False,Silver,Silver,11,297,False
2022-01,2022-09,2022-10,Unknown,9,Broker/IFA,North,55-64,False,Platinum,Gold,28,212,True
2022-01,2024-12,,,36,Branch,North,45-54,True,Classic,Gold,28,570,False
2022-01,2024-11,2024-12,Unknown,35,Branch,Midlands,35-44,False,Silver,Silver,18,504,True
2022-01,2024-12,,,36,Online,North,25-34,False,Silver,Silver,11,187,False
2022-01,2022-07,,Unknown,7,Comparison Site,London,45-54,True,Silver,Classic,0,0,True
2022-01,2023-04,2023-05,Unknown,16,Comparison Site,Wales & NI,45-54,False,Gold,Silver,18,239,True
2022-01,2024-06,2024-07,Unknown,30,Referral,North,65+,False,Classic,Silver,11,209,True
2022-01,2022-01,2022-02,Unknown,1,Comparison Site,London,25-34,False,Classic,Classic,0,0,True
2022-01,2024-12,,,36,Referral,Scotland,45-54,False,Gold,Gold,28,798,False
2022-01,2024-12,,,36,Online,London,55-64,True,Platinum,Gold,28,570,False
2022-01,2022-02,2022-03,Unknown,2,Comparison Site,South East,55-64,False,Gold,Gold,18,36,True
2022-01,2022-01,2022-02,Unknown,1,Comparison Site,Wales & NI,18-24,True,Classic,Classic,0,0,True
2022-01,2022-10,2022-11,Unknown,10,Comparison Site,Scotland,45-54,False,Classic,Classic,0,0,True
2022-01,2024-12,,,36,Broker/IFA,London,35-44,True,Platinum,Platinum,28,790,False
2022-01,2022-05,,Unknown,5,Outbound,Scotland,35-44,False,Classic,Classic,0,0,True
2022-01,2024-12,,,36,Online,London,45-54,False,Silver,Gold,18,508,False
2022-01,2022-12,,Unknown,12,Referral,Midlands,25-34,True,Silver,Silver,11,66,True
2022-01,2022-12,2023-01,Unknown,12,Comparison Site,South East,65+,True,Classic,Classic,0,0,True
2022-01,2023-03,2023-04,Unknown,15,Online,Wales & NI,35-44,False,Silver,Silver,18,200,True
2022-01,2024-12,,,36,Branch,London,18-24,False,Gold,Gold,18,648,False
2022-01,2024-12,,,36,Outbound,North,35-44,False,Classic,Classic,0,0,False
2022-01,2022-07,2022-08,Unknown,7,Outbound,London,35-44,True,Silver,Silver,11,11,True
2022-01,2024-03,2024-04,Unknown,27,Broker/IFA,Midlands,25-34,False,Gold,Silver,28,494,True
2022-01,2024-03,2024-04,Unknown,27,Comparison Site,North,25-34,True,Silver,Classic,11,176,True
2022-01,2024-12,,,36,Outbound,South East,45-54,False,Gold,Gold,18,620,False
2022-01,2024-12,,,36,Referral,South East,55-64,False,Silver,Platinum,28,614,False
2022-01,2024-12,,,36,Online,South East,45-54,False,Gold,Platinum,28,868,False
2022-01,2023-07,2023-08,Unknown,19,Outbound,Wales & NI,35-44,False,Classic,Classic,0,0,True
2022-01,2022-04,2022-05,Unknown,4,Online,Midlands,65+,False,Classic,Classic,0,0,True
2022-01,2022-05,2022-06,Unknown,5,Comparison Site,Midlands,45-54,True,Silver,Silver,0,0,True
2022-01,2022-01,2022-02,Unknown,1,Online,South East,35-44,False,Silver,Silver,11,11,True
2022-01,2024-12,,,36,Broker/IFA,London,45-54,False,Gold,Classic,18,440,False
2022-01,2022-09,2022-10,Unknown,9,Online,Midlands,18-24,False,Gold,Gold,18,162,True
2022-01,2024-12,,,36,Comparison Site,North,25-34,True,Classic,Gold,18,414,False
2022-01,2022-12,2023-01,Unknown,12,Comparison Site,Midlands,18-24,True,Classic,Classic,0,0,True
2022-01,2022-03,2022-04,Unknown,3,Online,London,35-44,False,Classic,Classic,0,0,True
2022-01,2024-12,,,36,Branch,London,25-34,False,Gold,Platinum,28,658,False
2022-01,2022-12,,Unknown,12,Comparison Site,South East,35-44,False,Classic,Classic,0,0,True
2022-01,2022-09,2022-10,Unknown,9,Comparison Site,Midlands,18-24,True,Gold,Gold,18,54,True
2022-01,2024-12,,,36,Branch,Midlands,65+,False,Silver,Gold,28,524,False
2022-01,2022-10,2022-11,Unknown,10,Online,North,25-34,False,Classic,Classic,0,0,True
2022-01,2022-05,,Unknown,5,Referral,London,18-24,False,Classic,Classic,0,0,True
2022-01,2022-02,,Unknown,2,Comparison Site,South East,55-64,True,Classic,Classic,0,0,True
2022-01,2024-12,,,36,Branch,South East,65+,False,Gold,Gold,28,958,False
2022-01,2024-12,,,36,Referral,North,45-54,False,Silver,Platinum,28,727,False
2022-01,2022-05,,Unknown,5,Online,South East,35-44,False,Silver,Silver,11,55,True
2022-01,2024-12,,,36,Outbound,South East,25-34,True,Silver,Silver,11,330,False
2022-01,2022-08,,Unknown,8,Outbound,Midlands,45-54,False,Silver,Classic,11,44,True
